t, e, s
4.306613226452905840e-03,3.000000000000000000e+00,5.919125261311881658e+00
4.320641282565130213e-03,3.000000000000000000e+00,5.920251856241003807e+00
4.334669338677354586e-03,3.000000000000000000e+00,5.921362757565980850e+00
4.348697394789578959e-03,3.000000000000000000e+00,5.922458183900623396e+00
4.362725450901803331e-03,3.000000000000000000e+00,5.923538350813426057e+00
4.376753507014027704e-03,3.000000000000000000e+00,5.924603470869989508e+00
4.390781563126252944e-03,3.000000000000000000e+00,5.925653753674843927e+00
4.404809619238477317e-03,3.000000000000000000e+00,5.926689405912711095e+00
4.418837675350701689e-03,3.000000000000000000e+00,5.927710631389163431e+00
4.432865731462926062e-03,3.000000000000000000e+00,5.928717631070739458e+00
4.446893787575150435e-03,3.000000000000000000e+00,5.929710603124489054e+00
4.460921843687374808e-03,3.000000000000000000e+00,5.930689742956970711e+00
4.474949899799599180e-03,3.000000000000000000e+00,5.931655243252706100e+00
4.488977955911823553e-03,3.000000000000000000e+00,5.932607294012097299e+00
4.503006012024047926e-03,3.000000000000000000e+00,5.933546082588819992e+00
4.517034068136272298e-03,3.000000000000000000e+00,5.934471793726688205e+00
4.531062124248496671e-03,3.000000000000000000e+00,5.935384609596013661e+00
4.545090180360721044e-03,3.000000000000000000e+00,5.936284709829451778e+00
4.559118236472946284e-03,3.000000000000000000e+00,5.937172271557354719e+00
4.573146292585170657e-03,3.000000000000000000e+00,5.938047469442627069e+00
4.587174348697395029e-03,3.000000000000000000e+00,5.938910475715097448e+00
4.601202404809619402e-03,3.000000000000000000e+00,5.939761460205412291e+00
4.615230460921843775e-03,3.000000000000000000e+00,5.940600590378457113e+00
4.629258517034068147e-03,3.000000000000000000e+00,5.941428031366310591e+00
4.643286573146292520e-03,3.000000000000000000e+00,5.942243946000742127e+00
4.657314629258516893e-03,3.000000000000000000e+00,5.943048494845252883e+00
4.671342685370741266e-03,3.000000000000000000e+00,5.943841836226678055e+00
4.685370741482965638e-03,3.000000000000000000e+00,5.944624126266337072e+00
4.699398797595190011e-03,3.000000000000000000e+00,5.945395518910766341e+00
4.713426853707415251e-03,3.000000000000000000e+00,5.946156165962001694e+00
4.727454909819639624e-03,3.000000000000000000e+00,5.946906217107459369e+00
4.741482965931863997e-03,3.000000000000000000e+00,5.947645819949397783e+00
4.755511022044088369e-03,3.000000000000000000e+00,5.948375120033949415e+00
4.769539078156312742e-03,3.000000000000000000e+00,5.949094260879778773e+00
4.783567134268537115e-03,3.000000000000000000e+00,5.949803384006311369e+00
4.797595190380761487e-03,3.000000000000000000e+00,5.950502628961594986e+00
4.811623246492985860e-03,3.000000000000000000e+00,5.951192133349755053e+00
4.825651302605210233e-03,3.000000000000000000e+00,5.951872032858074313e+00
4.839679358717434605e-03,3.000000000000000000e+00,5.952542461283693243e+00
4.853707414829658978e-03,3.000000000000000000e+00,5.953203550559946322e+00
4.867735470941883351e-03,3.000000000000000000e+00,5.953855430782315494e+00
4.881763527054108591e-03,3.000000000000000000e+00,5.954498230234040790e+00
4.895791583166332964e-03,3.000000000000000000e+00,5.955132075411360582e+00
4.909819639278557336e-03,3.000000000000000000e+00,5.955757091048403673e+00
4.923847695390781709e-03,3.000000000000000000e+00,5.956373400141737662e+00
4.937875751503006082e-03,3.000000000000000000e+00,5.956981123974573578e+00
4.951903807615230454e-03,3.000000000000000000e+00,5.957580382140633901e+00
4.965931863727454827e-03,3.000000000000000000e+00,5.958171292567683075e+00
4.979959919839679200e-03,3.000000000000000000e+00,5.958753971540740046e+00
4.993987975951903573e-03,3.000000000000000000e+00,5.959328533724956856e+00
5.008016032064127945e-03,3.000000000000000000e+00,5.959895092188189025e+00
5.022044088176352318e-03,3.000000000000000000e+00,5.960453758423241766e+00
5.036072144288577558e-03,3.000000000000000000e+00,5.961004642369809758e+00
5.050100200400801931e-03,3.000000000000000000e+00,5.961547852436119399e+00
5.064128256513026304e-03,3.000000000000000000e+00,5.962083495520251297e+00
5.078156312625250676e-03,3.000000000000000000e+00,5.962611677031188329e+00
5.092184368737475049e-03,3.000000000000000000e+00,5.963132500909550160e+00
5.106212424849699422e-03,3.000000000000000000e+00,5.963646069648052439e+00
5.120240480961923794e-03,3.000000000000000000e+00,5.964152484311673774e+00
5.134268537074148167e-03,3.000000000000000000e+00,5.964651844557544713e+00
5.148296593186372540e-03,3.000000000000000000e+00,5.965144248654564052e+00
5.162324649298596912e-03,3.000000000000000000e+00,5.965629793502726486e+00
5.176352705410821285e-03,3.000000000000000000e+00,5.966108574652202456e+00
5.190380761523046525e-03,3.000000000000000000e+00,5.966580686322138227e+00
5.204408817635270898e-03,3.000000000000000000e+00,5.967046221419190388e+00
5.218436873747495271e-03,3.000000000000000000e+00,5.967505271555818780e+00
5.232464929859719643e-03,3.000000000000000000e+00,5.967957927068309409e+00
5.246492985971944016e-03,3.000000000000000000e+00,5.968404277034554006e+00
5.260521042084168389e-03,3.000000000000000000e+00,5.968844409291575559e+00
5.274549098196392762e-03,3.000000000000000000e+00,5.969278410452819372e+00
5.288577154308617134e-03,3.000000000000000000e+00,5.969706365925193658e+00
5.302605210420841507e-03,3.000000000000000000e+00,5.970128359925878314e+00
5.316633266533065880e-03,3.000000000000000000e+00,5.970544475498899217e+00
5.330661322645290252e-03,3.000000000000000000e+00,5.970954794531465382e+00
5.344689378757514625e-03,3.000000000000000000e+00,5.971359397770090283e+00
5.358717434869739865e-03,3.000000000000000000e+00,5.971758364836478705e+00
5.372745490981964238e-03,3.000000000000000000e+00,5.972151774243191547e+00
